,goals,assists,points,ops,tps,plus-minus,position_C,position_D,position_W
0,42,84,126,12.299999999999999,17.1,10,1,0,0
1,51,75,126,12.600000000000001,18.9,36,0,0,1
2,42,78,120,10.5,15.299999999999999,12,0,0,1
3,25,89,114,9.0,15.899999999999999,0,1,0,0
4,30,84,114,9.600000000000001,15.299999999999999,8,0,0,1
5,26,87,113,9.3,15.299999999999999,24,1,0,0
6,56,55,111,12.0,18.299999999999997,18,1,0,0
7,39,72,111,10.5,15.899999999999999,14,1,0,0
8,58,51,109,11.399999999999999,18.0,26,1,0,0
9,27,78,105,9.0,14.399999999999999,32,1,0,0
10,42,61,103,9.600000000000001,16.5,0,0,0,1
11,45,57,102,9.600000000000001,14.100000000000001,-6,0,0,1
12,30,72,102,8.399999999999999,14.399999999999999,10,0,0,1
13,35,65,100,10.5,15.899999999999999,10,0,0,1
14,22,78,100,9.0,22.5,18,0,1,0
15,39,61,100,8.100000000000001,14.100000000000001,26,0,0,1
